title;Body;Nid;postdate;Published;startdate;enddate;Term;LocationName;Uid;username
Repetitie en start wijn-en pralineverkoop.;Terug in onze vertrouwde omgeving<br/>het programma van de cultuurmarkt (staat op vorige én volgende repetitie)<br/>Palladio is geschrapt van het programma!<br/>en 1e of 3e deel concerto<br/>vuurdans, want die doen we als de Deinzenaars komen.<br/>Dus graag oefenen aub!;558;1345060724;Yes;1346500800;1346508000;Repetitie;Ernest Claesklas;2;marleen
Repetitie;We vliegen er weer in. <br/>We doen alvast het programma voor de cultuurmarkt<br/>Palladio<br/>Beat of Santa Rosa<br/>Dreams of Jamaica<br/>Rumba con trastes<br/>Back to the future (PJ en Pim, breng jullie elektrische gitaar mee)<br/>en het derde deel van het concerto<br/>en een beetje vuurdans...;550;1340704328;Yes;1345881600;1345890600;Repetitie;Torenhofschool;2;marleen
living-repetitie;We oefenen<br/>Beat of Santa Rosa<br/>Dreams of Jamaica<br/>Rumba con trastes<br/>1e en 3e deel concerto. (eventueel even het 2e deel doornemen);552;1341178863;Yes;1344154500;1344162600;Repetitie;ten huize van;2;marleen
repetitie, en barbecue;Repetitie<br/>spaanse muziek... Lorca concerto deel 1 en 3 graag goed inoefenen.<br/>deel 2 krijg je ook.<br/>vuurdans<br/>herhalen Back to the future<br/>en nog wel iets ...;547;1335290961;Yes;1341129600;1341138600;Repetitie;Torenhofschool;2;marleen
Geen repetitie;;542;1331910274;Yes;1340402400;1340402400;Repetitie;;2;marleen
Repetitie;Back to the future.<br/>concerto deel 1<br/>Danza ritual del fuego<br/>en nog iets voor de cultuurmarkt.<br/>we spelen op de cultuurmarkt ook nog Beat of Santa Rosa en Dreams of Jamaica. Wie dit nog leest, breng het mee.<br/>Gudrun, Pim, Canigia krijgen een andere stem daarin, dus die mogen er nog niet aan oefenen :-);541;1331910250;Yes;1339848000;1339855200;Repetitie;Ernest Claesklas;2;marleen
Geen repetitie;;540;1331910201;Yes;1339192800;1339192800;Repetitie;;2;marleen
Repetitie;We herhalen Palladio en Back to the future, voor onze nieuwkes....<br/>en dan: concerto deel 1 en 3.;539;1331910178;Yes;1338638400;1338645600;Repetitie;Ernest Claesklas;2;marleen
repetitie;Het Lorca-concerto deel 1 (graag eens oefenen, want het is niet makkelijk....)<br/>En Rumba con trastes<br/>en Danza ritual del fuego (ttz de rituele vuurdans) van De Falla;538;1331910132;Yes;1338033600;1338040800;Repetitie;Ernest Claesklas;2;marleen
Geen repetitie;;537;1331910087;Yes;1337378400;1337378400;Repetitie;;2;marleen
